time,type,peer_address,prefix,next-hop,communities,as-path
1455958874.0,W,206.126.236.172,72.20.0.0/24,None,None,None
1455958874.0,W,206.126.236.24,72.20.0.0/24,None,None,None
1455958877.0,W,27.111.228.169,72.20.0.0/24,None,None,None
1455958877.0,W,202.79.197.159,72.20.0.0/24,None,None,None
1455958877.0,W,27.111.228.159,72.20.0.0/24,None,None,None
1455958878.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'24482:2', '24482:12011', '24482:65202', '24482:12010'}",24482 3223 203959 32768 53587 53587 53587 53587 134830 134830 134830
1455958878.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'24482:2', '24482:12011', '24482:65202', '24482:12010'}",24482 3223 203959 32768 53587 53587 53587 53587 134830 134830 134830
1455958885.0,W,206.126.236.47,72.20.0.0/24,None,None,None
1455958887.0,W,206.126.236.10,72.20.0.0/24,None,None,None
1455958898.0,W,202.79.197.159,72.20.0.0/24,None,None,None
1455958898.0,W,27.111.228.159,72.20.0.0/24,None,None,None
1455958899.0,W,206.126.236.37,72.20.0.0/24,None,None,None
1455958902.0,W,27.111.228.201,72.20.0.0/24,None,None,None
1455958902.0,W,202.79.197.201,72.20.0.0/24,None,None,None
1455958904.0,W,206.126.236.26,72.20.0.0/24,None,None,None
1455961362.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'24482:64691', '24482:1', '43531:10020', '24482:12011', '24482:12010'}",24482 43531 3223 203959 1229 3257 25761
1455961362.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'24482:64691', '24482:1', '43531:10020', '24482:12011', '24482:12010'}",24482 43531 3223 203959 1229 3257 25761
1455961362.0,A,206.126.236.172,72.20.0.0/24,206.126.236.169,set(),11039 3223 203959 1229 3257 25761
1455961362.0,A,206.126.236.24,72.20.0.0/24,206.126.236.169,"{'11666:2000', '11666:2003'}",11666 3223 203959 1229 3257 25761
1455961365.0,A,27.111.228.169,72.20.0.0/24,27.111.228.169,set(),38880 3223 203959 1229 3257 25761
1455961372.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'24482:2', '24482:65203', '24482:12011', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961372.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'24482:2', '24482:65203', '24482:12011', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961373.0,A,206.126.236.10,72.20.0.0/24,206.126.236.10,"{'4589:2', '4589:641', '4589:61', '4589:420', '4589:14901'}",4589 3223 203959 1229 3257 25761
1455961376.0,A,206.126.236.10,72.20.0.0/24,206.126.236.10,"{'4589:685', '4589:2', '4589:61', '4589:680', '4589:420', '4589:10140'}",4589 3223 203959 1229 3257 25761
1455961385.0,A,27.111.228.201,72.20.0.0/24,27.111.228.201,"{'4637:32412', '4637:60952', '4637:32026', '4637:32934', '4637:32502'}",133165 4637 3223 203959 1229 3257 25761
1455961385.0,A,202.79.197.201,72.20.0.0/24,202.79.197.201,"{'4637:32412', '4637:60952', '4637:32026', '4637:32934', '4637:32502'}",133165 4637 3223 203959 1229 3257 25761
1455961387.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'24482:2', '24482:12011', '24482:65202', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961387.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'24482:2', '24482:12011', '24482:65202', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961392.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'3223:2', '3223:201', '24482:2', '22233:10030', '24482:65201', '24482:12011', '3223:666', '24482:12010', '22233:10022'}",24482 3223 203959 1229 3257 25761
1455961392.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'3223:2', '3223:201', '24482:2', '22233:10030', '24482:65201', '24482:12011', '3223:666', '24482:12010', '22233:10022'}",24482 3223 203959 1229 3257 25761
1455961394.0,A,206.126.236.26,72.20.0.0/24,206.126.236.26,set(),16559 3223 203959 1229 3257 25761
1455961762.0,W,206.126.236.172,72.20.0.0/24,None,None,None
1455961762.0,W,206.126.236.24,72.20.0.0/24,None,None,None
1455961765.0,W,202.79.197.159,72.20.0.0/24,None,None,None
1455961765.0,W,27.111.228.159,72.20.0.0/24,None,None,None
1455961765.0,W,27.111.228.169,72.20.0.0/24,None,None,None
1455961765.0,A,202.79.197.159,72.20.0.0/24,202.79.197.159,"{'24482:2', '24482:65203', '24482:12011', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961765.0,A,27.111.228.159,72.20.0.0/24,27.111.228.159,"{'24482:2', '24482:65203', '24482:12011', '24482:12010'}",24482 3223 203959 1229 3257 25761
1455961771.0,W,202.79.197.159,72.20.0.0/24,None,None,None
1455961771.0,W,27.111.228.159,72.20.0.0/24,None,None,None
1455961776.0,W,206.126.236.10,72.20.0.0/24,None,None,None
1455961779.0,W,27.111.228.201,72.20.0.0/24,None,None,None
1455961779.0,W,202.79.197.201,72.20.0.0/24,None,None,None
1455961793.0,W,206.126.236.26,72.20.0.0/24,None,None,None
