time,type,peer_address,prefix,next-hop,communities,as-path
1524574533.0,W,206.126.236.37,205.251.192.0/24,None,None,None
1524574541.0,W,206.126.236.137,205.251.192.0/24,None,None,None
1524574571.0,A,206.126.236.137,205.251.192.0/24,206.126.236.137,set(),293 6939 10297
1524574695.0,W,206.126.236.137,205.251.192.0/24,None,None,None
1524574725.0,A,206.126.236.137,205.251.192.0/24,206.126.236.137,set(),293 6939 10297
1524574746.0,W,206.126.236.47,205.251.192.0/24,None,None,None
1524574755.0,W,206.126.236.137,205.251.192.0/24,None,None,None
1524574764.0,W,206.126.236.25,205.251.192.0/24,None,None,None
1524574769.0,W,206.126.236.76,205.251.192.0/24,None,None,None
1524574783.0,W,206.126.236.172,205.251.192.0/24,None,None,None
