time,type,peer_address,prefix,next-hop,communities,as-path
1524922681.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681
1524922681.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681
1524922683.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681
1524922686.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681
1524922686.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681
1524922696.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681
1524922708.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681
1524922710.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681
1524922725.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681 61681
1524922725.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524922740.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681 61681
1524922746.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681
1524922746.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681
