time,type,peer_address,prefix,next-hop,communities,as-path
1463780283.0,A,27.111.228.159,191.86.129.0/24,27.111.228.159,"{'24482:12011', '24482:1', '43531:10020', '24482:12010', '24482:64691'}",24482 43531 3223 203959
1463780283.0,A,206.126.236.172,191.86.129.0/24,206.126.236.169,set(),11039 3223 203959
1463780283.0,A,206.126.236.24,191.86.129.0/24,206.126.236.169,"{'11666:2000', '11666:2003'}",11666 3223 203959
1463780283.0,A,206.126.236.37,191.86.129.0/24,206.126.236.37,set(),6939 3223 203959
1463780286.0,A,27.111.228.6,191.86.129.0/24,27.111.228.6,{'10026:2000'},18106 10026 3223 203959
1463780287.0,A,27.111.228.159,191.86.129.0/24,27.111.228.159,"{'24482:2', '24482:12010', '24482:65202', '24482:12011'}",24482 3223 203959
1463780289.0,A,206.126.236.10,191.86.129.0/24,206.126.236.10,"{'4589:14901', '4589:2', '4589:61', '4589:641', '4589:420'}",4589 3223 203959
1463780302.0,A,206.126.236.10,191.86.129.0/24,206.126.236.10,"{'4589:10140', '4589:2', '4589:61', '4589:680', '4589:685', '4589:420'}",4589 3223 203959
1463780303.0,A,206.126.236.47,191.86.129.0/24,206.126.236.47,"{'19151:61001', '19151:65040', '19151:1000'}",19151 3223 203959
1463780304.0,A,206.126.236.26,191.86.129.0/24,206.126.236.26,set(),16559 3223 203959
1463780517.0,A,206.126.236.10,191.86.129.0/24,206.126.236.10,"{'4589:14901', '4589:2', '4589:61', '4589:641', '4589:420'}",4589 3223 203959
1463780533.0,W,27.111.228.159,191.86.129.0/24,None,None,None
1463780534.0,A,27.111.228.159,191.86.129.0/24,27.111.228.159,"{'24482:2', '24482:12010', '24482:65203', '24482:12011'}",24482 3223 203959
1463780536.0,W,27.111.228.6,191.86.129.0/24,None,None,None
1463780536.0,W,27.111.228.159,191.86.129.0/24,None,None,None
1463780565.0,W,206.126.236.26,191.86.129.0/24,None,None,None
1463780565.0,W,206.126.236.24,191.86.129.0/24,None,None,None
1463780565.0,W,206.126.236.47,191.86.129.0/24,None,None,None
1463780565.0,W,206.126.236.172,191.86.129.0/24,None,None,None
1463780565.0,W,206.126.236.37,191.86.129.0/24,None,None,None
1463780566.0,W,206.126.236.10,191.86.129.0/24,None,None,None
