time,type,peer_address,prefix,next-hop,communities,as-path
1524945697.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '286:4502', '24115:286', '286:3001', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524945698.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '24115:286', '286:3001', '286:4510', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524945698.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:51102', '3257:30118', '3257:8111', '3257:50002', '3257:51100'}",3257 6453 7738 8167 53062 53062 53062 61681
1524945698.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:51101', '3257:8066', '3257:50002', '3257:51100', '3257:30046'}",3257 3356 28329 61681
1524945698.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:8144', '3257:51103', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524945698.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681 61681
1524945698.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524945710.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681 61681
1524945710.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524945716.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681 61681
1524945719.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681 61681
1524945720.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681 61681
1524945724.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681 61681
1524945744.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681 61681
1524946026.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:8144', '3257:51103', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524946026.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '286:4502', '24115:286', '286:3001', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681 61681
1524946026.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '24115:286', '286:3001', '286:4510', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681 61681
1524946026.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681 61681
1524946027.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681 61681 61681
1524946028.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681 61681 61681
1524946031.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681 61681 61681
1524946044.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681 61681
1524946044.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681 61681 61681
1524946046.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681 61681 61681
1524946050.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681 61681 61681
1524946072.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681 61681 61681
