time,type,peer_address,prefix,next-hop,communities,as-path
1473231740.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'6453:2000'},18106 6453 174 201133
1473231741.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'174:22023', '24482:64605', '24482:1', '24482:21200', '24482:12010', '24482:12011', '174:21101'}",24482 174 201133
1473231744.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'174:2000'},18106 174 201133
1473231786.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473231788.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 1299 174 201133
1473231878.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'6453:2000'},18106 6453 174 201133
1473231883.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'174:2000'},18106 174 201133
1473231885.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'174:22023', '24482:64605', '24482:1', '24482:21200', '24482:12010', '24482:12011', '174:21101'}",24482 174 201133
1473231914.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '51706:64601', '51706:64650', '8262:4000', '8262:4100', '8262:2800', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473231943.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473231988.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 1299 174 201133
1473232053.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'6453:2000'},18106 6453 174 201133
1473232053.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'174:22023', '24482:64605', '24482:1', '24482:21200', '24482:12010', '24482:12011', '174:21101'}",24482 174 201133
1473232053.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'174:2000'},18106 174 201133
1473232087.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '51706:64601', '51706:64650', '8262:4000', '8262:4100', '8262:2800', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473232123.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473232181.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'174:22023', '24482:64605', '24482:1', '24482:21200', '24482:12010', '24482:12011', '174:21101'}",24482 174 201133
1473232221.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '51706:64650', '8262:4000', '8262:4100', '8262:2800', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '51706:64602', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473232222.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 1299 174 201133
1473232224.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 1299 174 201133
1473232406.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:65203', '24482:12010', '24482:2', '24482:12011'}",24482 3223 203959
1473232407.0,A,206.126.236.10,82.118.233.0/24,206.126.236.10,"{'4589:61', '4589:641', '4589:14901', '4589:2', '4589:420'}",4589 3223 203959
1473232407.0,A,206.126.236.37,82.118.233.0/24,206.126.236.37,set(),6939 3223 203959
1473232408.0,A,206.126.236.26,82.118.233.0/24,206.126.236.26,set(),16559 6939 3223 203959
1473232412.0,A,206.126.236.104,82.118.233.0/24,206.126.236.104,"{'6830:17415', '6830:35308', '1299:35000', '6830:17000', '6830:23001'}",6830 1299 3223 203959
1473232412.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:17415', '6830:35308', '1299:35000', '6830:17000', '6830:23001'}",6830 1299 3223 203959
1473232413.0,A,206.126.236.10,82.118.233.0/24,206.126.236.10,"{'4589:685', '4589:680', '4589:10140', '4589:61', '4589:2', '4589:420'}",4589 3223 203959
1473232415.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:65202', '24482:12010', '24482:2', '24482:12011'}",24482 3223 203959
1473232415.0,A,27.111.228.111,82.118.233.0/24,27.111.228.111,"{'6762:14900', '6762:92', '6762:1'}",6762 3223 203959
1473232415.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 1299 3223 203959
1473232423.0,A,206.126.236.24,82.118.233.0/24,206.126.236.169,"{'11666:2003', '11666:2000'}",11666 3223 203959
1473232423.0,A,206.126.236.172,82.118.233.0/24,206.126.236.169,set(),11039 3223 203959
1473232423.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:17000', '6830:17415', '1299:35000', '6830:35307'}",6830 1299 3223 203959
1473232423.0,A,206.126.236.104,82.118.233.0/24,206.126.236.104,"{'6830:17415', '1299:35000', '6830:17000', '6830:23001', '6830:35307'}",6830 1299 3223 203959
1473232432.0,A,206.126.236.47,82.118.233.0/24,206.126.236.47,"{'19151:61001', '19151:1000', '19151:65040'}",19151 3223 203959
1473232439.0,A,206.126.236.26,82.118.233.0/24,206.126.236.26,set(),16559 3223 203959
1473232804.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 3223 203959
1473234563.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 6762 3223 203959
1473234563.0,A,206.126.236.10,82.118.233.0/24,206.126.236.10,"{'2914:3000', '2914:2000', '4589:10110', '4589:546', '4589:2', '4589:420', '2914:1009', '2914:420'}",4589 2914 174 201133
1473234565.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:13010', '174:22023', '24482:64605', '24482:1', '24482:21200', '174:21101', '24482:13011'}",24482 174 201133
1473234565.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 3223 203959
1473234567.0,A,206.126.236.172,82.118.233.0/24,206.126.236.172,{'6461:5997'},11039 6461 174 201133
1473234567.0,A,206.126.236.172,82.118.233.0/24,206.126.236.172,"{'174:21101', '174:22023'}",11039 174 201133
1473234567.0,A,206.126.236.37,82.118.233.0/24,206.126.236.37,set(),6939 6762 3223 203959
1473234567.0,A,206.126.236.24,82.118.233.0/24,206.126.236.24,"{'3257:51401', '3257:8093', '11666:1005', '3257:50002', '3257:51400', '3257:30302', '11666:1000'}",11666 3257 174 201133
1473234580.0,W,206.126.236.117,82.118.233.0/24,None,None,None
1473234581.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:17000', '6830:17415', '6830:34403', '6830:23001'}",6830 1299 3223 203959
1473234581.0,A,206.126.236.104,82.118.233.0/24,206.126.236.104,"{'6830:17000', '6830:17415', '6830:33109'}",6830 1299 3223 203959
1473234581.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:17000', '6830:17415', '6830:33109'}",6830 1299 3223 203959
1473234581.0,A,27.111.228.111,82.118.233.0/24,27.111.228.111,"{'6762:10130', '6762:92', '6762:1'}",6762 3223 203959
1473234583.0,A,206.126.236.47,82.118.233.0/24,206.126.236.47,"{'19151:61003', '174:22023', '19151:65050', '19151:1000', '174:21101'}",19151 174 201133
1473234586.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 6762 3223 203959
1473234589.0,A,206.126.236.26,82.118.233.0/24,206.126.236.26,set(),16559 3356 174 201133
1473234616.0,A,27.111.228.159,82.118.233.0/24,27.111.228.159,"{'24482:12011', '8262:1020', '8262:2900', '24482:65201', '8262:4000', '8262:4100', '8262:2800', '8714:8714', '8262:4200', '8262:4300', '24482:2', '24482:12010', '8262:2600', '8262:2700', '8262:2310'}",24482 8262 48452 48452 5580 174 201133
1473234618.0,A,27.111.228.6,82.118.233.0/24,27.111.228.6,{'5459:2000'},18106 8262 48452 48452 5580 174 201133
1473234621.0,A,206.126.236.37,82.118.233.0/24,206.126.236.37,set(),6939 1299 3223 203959
1473234627.0,W,27.111.228.111,82.118.233.0/24,None,None,None
1473234806.0,W,206.126.236.104,82.118.233.0/24,None,None,None
1473234806.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:23001', '6830:10002', '6830:35308', '1299:25000'}",6830 1299 174 201133
1473234806.0,A,206.126.236.104,82.118.233.0/24,206.126.236.104,"{'6830:23001', '6830:10002', '6830:35308', '1299:25000'}",6830 1299 174 201133
1473234823.0,A,206.126.236.117,82.118.233.0/24,206.126.236.117,"{'6830:10002', '1299:25000', '6830:35307'}",6830 1299 174 201133
1473234823.0,A,206.126.236.104,82.118.233.0/24,206.126.236.104,"{'6830:23001', '6830:10002', '1299:25000', '6830:35307'}",6830 1299 174 201133
1473234823.0,A,206.126.236.37,82.118.233.0/24,206.126.236.37,set(),6939 1299 174 201133
