record_type,time,type,peer_address,prefix,next-hop,communities,as-path,filename,title
update,1427373248.0,A,202.79.197.159,23.21.144.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373248.0,A,202.79.197.159,23.21.128.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373251.0,W,202.79.197.159,23.21.128.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373251.0,W,202.79.197.159,23.21.144.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373320.0,A,202.79.197.159,23.21.144.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373320.0,A,202.79.197.159,23.21.128.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373325.0,W,202.79.197.159,23.21.128.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373325.0,W,202.79.197.159,23.21.144.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373421.0,A,202.79.197.159,23.21.144.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373421.0,A,202.79.197.159,23.21.128.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373427.0,W,202.79.197.159,23.21.128.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373427.0,W,202.79.197.159,23.21.144.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373516.0,A,202.79.197.159,23.21.144.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373516.0,A,202.79.197.159,23.21.128.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373524.0,W,202.79.197.159,23.21.128.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373524.0,W,202.79.197.159,23.21.144.0/20,,,,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373561.0,A,202.79.197.159,23.21.144.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
update,1427373561.0,A,202.79.197.159,23.21.128.0/20,202.79.197.159,"{'24482:65301', '24482:13010', '24482:13011', '19996:19996', '24482:3'}",24482 40633 18978 6939 14618,enzu_1_2015-03-26 12:30:00_2015-03-26 13:30:00.csv,enzu_1
