record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1422086400.0,R,202.79.197.201,61.80.0.0/14,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.0.0/14,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.34.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.34.0/24,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.45.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.45.0/24,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.49.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.49.0/24,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.132.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.132.0/24,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.133.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.133.0/24,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.160.0/20,202.79.197.159,"{'24482:65202', '24482:12011', '24482:3', '24482:12010'}",24482 197426 24196
rib,1422086400.0,R,202.79.197.201,61.80.160.0/21,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.160.0/21,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.168.0/21,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766
rib,1422086400.0,R,202.79.197.159,61.80.168.0/21,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766
rib,1422086400.0,R,202.79.197.201,61.80.206.0/23,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 3786 18341
rib,1422086400.0,R,202.79.197.159,61.80.206.0/23,202.79.197.159,"{'6453:3102', '24482:64601', '24482:11010', '6453:3000', '24482:21104', '24482:5', '6453:3100', '24482:21100', '24482:11013', '6453:86'}",24482 6453 3786 18341
rib,1422086400.0,R,202.79.197.201,61.80.208.0/20,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766 18341
rib,1422086400.0,R,202.79.197.159,61.80.208.0/20,202.79.197.159,"{'2914:3400', '24482:64602', '24482:11010', '24482:21107', '2914:1408', '2914:2401', '24482:5', '24482:21100', '2914:420', '65504:4766', '24482:11011'}",24482 2914 4766 18341
rib,1422086400.0,R,202.79.197.201,61.81.98.0/23,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 3786 9782
rib,1422086400.0,R,202.79.197.159,61.81.98.0/23,202.79.197.159,"{'6453:3102', '24482:64601', '24482:11010', '6453:3000', '24482:21104', '24482:5', '6453:3100', '24482:21100', '24482:11013', '6453:86'}",24482 6453 3786 9782
rib,1422086400.0,R,202.79.197.201,61.81.105.0/24,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766 10190
rib,1422086400.0,R,202.79.197.159,61.81.105.0/24,202.79.197.159,"{'6453:3102', '24482:64601', '24482:11010', '6453:3000', '24482:21104', '24482:5', '6453:3100', '24482:21100', '24482:11013', '6453:86'}",24482 6453 3786 10190
rib,1422086400.0,R,202.79.197.201,61.81.106.0/23,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766 10190
rib,1422086400.0,R,202.79.197.159,61.81.106.0/23,202.79.197.159,"{'6453:3102', '24482:64601', '24482:11010', '6453:3000', '24482:21104', '24482:5', '6453:3100', '24482:21100', '24482:11013', '6453:86'}",24482 6453 3786 10190
rib,1422086400.0,R,202.79.197.201,61.81.108.0/22,202.79.197.201,"{'2914:1408', '2914:3400', '2914:2401', '2914:420'}",133165 2914 4766 10190
