record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1228048856.0,A,206.223.115.19,63.163.249.0/24,206.223.115.19,"{'3257:3401', '3257:3400', '3257:5010'}",3257 7018 29981
update,1228048857.0,A,206.223.115.47,63.163.249.0/24,206.223.115.47,"{'19151:1000', '19151:61001', '19151:65050'}",19151 1239 7018 29981
update,1228048865.0,A,206.223.115.19,63.163.249.0/24,206.223.115.19,"{'3257:3030', '3257:3033', '3257:5010', '3257:3000'}",3257 1239 29981
update,1228048865.0,A,206.223.115.12,63.163.249.0/24,206.223.115.12,"{'2914:2000', '2914:420', '2914:3000', '65504:7018'}",2914 7018 29981
update,1228048870.0,A,206.223.115.12,63.163.249.0/24,206.223.115.12,"{'2914:2000', '2914:420', '2914:3000', '65504:1239'}",2914 1239 29981
update,1228048875.0,A,206.223.115.12,63.163.249.0/24,206.223.115.12,"{'2914:2000', '2914:420', '2914:3000', '65504:1239'}",2914 1239 29981
update,1228048887.0,A,206.223.115.47,63.163.249.0/24,206.223.115.47,"{'19151:1000', '19151:61001', '19151:65050'}",19151 1239 29981
update,1228048888.0,A,206.223.115.26,63.163.249.0/24,206.223.115.26,"{'16559:500', '16559:65503'}",16559 174 7018 29981
update,1228048897.0,A,206.223.115.109,63.163.249.0/24,206.223.115.109,set(),19166 174 7018 29981
update,1228048916.0,A,206.223.115.19,63.163.249.0/24,206.223.115.19,"{'3257:3401', '3257:3400', '3257:5010'}",3257 7018 29981
update,1228048917.0,A,206.223.115.19,63.163.249.0/24,206.223.115.19,"{'3257:3402', '3257:3400', '3257:5010'}",3257 7018 29981
update,1228048918.0,A,206.223.115.26,63.163.249.0/24,206.223.115.26,"{'16559:500', '16559:65502'}",16559 3356 1239 29981
update,1228048927.0,A,206.223.115.12,63.163.249.0/24,206.223.115.12,"{'2914:2000', '2914:420', '2914:3000', '65504:7018'}",2914 7018 29981
update,1228048927.0,A,206.223.115.109,63.163.249.0/24,206.223.115.109,set(),19166 174 1239 1239 1239 29981
update,1228048948.0,A,206.223.115.47,63.163.249.0/24,206.223.115.47,"{'19151:1000', '19151:61001', '19151:65050'}",19151 1239 7018 29981
update,1228048948.0,A,206.223.115.26,63.163.249.0/24,206.223.115.26,"{'16559:500', '16559:65503'}",16559 174 7018 29981
update,1228048958.0,A,206.223.115.109,63.163.249.0/24,206.223.115.109,set(),19166 174 7018 29981
update,1228048978.0,A,206.223.115.47,63.163.249.0/24,206.223.115.47,"{'19151:61006', '19151:1000', '19151:65050'}",19151 1239 29981
update,1228049008.0,A,206.223.115.47,63.163.249.0/24,206.223.115.47,"{'19151:1000', '19151:61001', '19151:65050'}",19151 1239 29981
