record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1420682400.0,R,202.79.197.201,192.84.128.0/20,202.79.197.201,"{'1299:25000', '1299:4000', '1299:25400'}",133165 1299 174 137 137 137
rib,1420682400.0,R,202.79.197.159,192.84.128.0/20,202.79.197.159,"{'24482:3', '137:1001', '137:3002', '24482:12010', '24482:12011', '137:1000', '24482:65207'}",24482 137
rib,1420682437.0,R,206.126.236.172,192.84.128.0/20,206.126.236.172,set(),11039 4901 11537 20965 137
rib,1420682437.0,R,206.126.236.24,192.84.128.0/20,206.126.236.24,"{'3356:22', '3356:2', '3356:2074', '65001:1299', '137:1001', '137:3002', '3356:505', '3356:100', '11666:1000', '3356:123', '137:1000', '11666:1002'}",11666 3356 137 137 137
rib,1420682437.0,R,206.126.236.19,192.84.128.0/20,206.126.236.19,"{'3257:51102', '3257:51100', '3257:8093', '3257:30049', '3257:50002'}",3257 3356 137 137 137
rib,1420682437.0,R,206.126.236.154,192.84.128.0/20,206.126.236.154,set(),13618 3356 137 137 137
rib,1420682437.0,R,206.126.236.26,192.84.128.0/20,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 137
rib,1420682437.0,R,206.126.236.37,192.84.128.0/20,206.126.236.37,set(),6939 137
rib,1420682437.0,R,206.126.236.76,192.84.128.0/20,206.126.236.76,set(),5769 6453 3356 137 137 137
rib,1420682437.0,R,206.126.236.47,192.84.128.0/20,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 137 137 137
rib,1420682437.0,R,206.126.236.10,192.84.128.0/20,206.126.236.10,"{'4589:661', '137:1001', '137:3002', '4589:13903', '4589:420', '4589:61', '137:1000', '4589:2'}",4589 137
rib,1420682437.0,R,206.126.236.12,192.84.128.0/20,206.126.236.12,"{'2914:2000', '2914:420', '2914:1001', '2914:3000'}",2914 174 137 137 137
rib,1420682437.0,R,206.126.236.120,192.84.128.0/20,206.126.236.120,set(),41095 137
rib,1420682437.0,R,206.126.236.25,192.84.128.0/20,206.126.236.25,set(),6079 3356 137 137 137
