record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1420286401.0,R,202.79.197.159,102.125.0.0/16,202.79.197.159,"{'24482:64601', '6453:2000', '6453:2101', '6453:86', '24482:5', '24482:12010', '24482:12011', '24482:21200', '6453:2100'}",24482 6453 174 59790
rib,1420286401.0,R,202.79.197.201,102.125.0.0/16,202.79.197.201,"{'1299:25000', '1299:4000', '1299:25400'}",133165 1299 174 59790
rib,1420286419.0,R,206.126.236.154,102.125.0.0/16,206.126.236.154,set(),13618 3356 174 59790
rib,1420286419.0,R,206.126.236.76,102.125.0.0/16,206.126.236.76,set(),5769 6453 174 59790
rib,1420286419.0,R,206.126.236.47,102.125.0.0/16,206.126.236.47,"{'19151:61006', '19151:65040', '19151:1000', '19151:1500'}",19151 174 59790
rib,1420286419.0,R,206.126.236.10,102.125.0.0/16,206.126.236.10,"{'2914:420', '4589:2', '2914:2000', '4589:546', '4589:10110', '4589:420', '2914:1001', '2914:3000'}",4589 2914 174 59790
rib,1420286419.0,R,206.126.236.120,102.125.0.0/16,206.126.236.120,set(),41095 3356 174 59790
rib,1420286419.0,R,206.126.236.25,102.125.0.0/16,206.126.236.25,set(),6079 3356 174 59790
rib,1420286419.0,R,206.126.236.12,102.125.0.0/16,206.126.236.12,"{'2914:2000', '2914:420', '2914:1001', '2914:3000'}",2914 174 59790
rib,1420286419.0,R,206.126.236.26,102.125.0.0/16,206.126.236.26,"{'16559:500', '16559:65502'}",16559 3356 174 59790
rib,1420286419.0,R,206.126.236.19,102.125.0.0/16,206.126.236.19,"{'3257:51102', '3257:51100', '3257:8093', '3257:30235', '3257:50002'}",3257 174 59790
rib,1420286419.0,R,206.126.236.24,102.125.0.0/16,206.126.236.24,"{'3257:51400', '3257:30302', '3257:8093', '11666:1000', '11666:1005', '3257:50002', '3257:51401'}",11666 3257 174 59790
rib,1420286419.0,R,206.126.236.37,102.125.0.0/16,206.126.236.37,set(),6939 1299 174 59790
rib,1420286419.0,R,206.126.236.172,102.125.0.0/16,206.126.236.172,"{'174:21101', '174:22005'}",11039 174 59790
