record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1410364090.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3549:2145', '3549:30840'}",133165 3491 3549 1299 7029
update,1410364090.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'6453:1300', '6453:1000', '6453:86', '6453:1303'}",133165 6453 1299 7029
update,1410364090.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3356:70', '3549:100', '2828:1507', '1299:35200', '1299:50', '1299:1000', '2914:450', '1299:35000'}",133165 1299 7029
update,1410364095.0,A,206.126.236.19,61.174.51.0/24,206.126.236.19,"{'3257:51101', '3257:51100', '3257:8066', '3257:30238', '3257:50002'}",3257 1299 7029
update,1410364095.0,A,206.126.236.12,61.174.51.0/24,206.126.236.12,"{'2914:2000', '2914:420', '2914:1006', '2914:3000'}",2914 1299 7029
update,1410364095.0,A,206.126.236.19,61.174.51.0/24,206.126.236.19,"{'3257:30273', '3257:8096', '3257:51301', '3257:50002', '3257:51300'}",3257 1299 7029
update,1410364095.0,W,206.126.236.37,61.174.51.0/24,None,None,None
update,1410364095.0,A,206.126.236.19,61.174.51.0/24,206.126.236.19,"{'3257:51101', '3257:51100', '3257:8066', '3257:30238', '3257:50002'}",3257 1299 7029
update,1410364095.0,A,206.126.236.19,61.174.51.0/24,206.126.236.19,"{'3257:51100', '3257:8097', '3257:30236', '3257:51103', '3257:50002'}",3257 1299 7029
update,1410364095.0,A,206.126.236.19,61.174.51.0/24,206.126.236.19,"{'3257:30273', '3257:8096', '3257:51301', '3257:50002', '3257:51300'}",3257 1299 7029
update,1410364095.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3549:2145', '3549:30840'}",133165 3491 3549 1299 7029
update,1410364096.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'6453:1300', '6453:1000', '6453:86', '6453:1303'}",133165 6453 1299 7029
update,1410364096.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'6453:1403', '6453:1400', '6453:1000', '6453:86'}",133165 6453 1299 7029
update,1410364096.0,A,206.126.236.12,61.174.51.0/24,206.126.236.12,"{'2914:1003', '2914:420', '2914:3000', '2914:2000'}",2914 1299 7029
update,1410364097.0,A,206.126.236.12,61.174.51.0/24,206.126.236.12,"{'2914:1003', '2914:420', '2914:3000', '2914:2000'}",2914 1299 7029
update,1410364097.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'6453:1202', '6453:1200', '6453:1000', '6453:86'}",133165 6453 1299 7029
update,1410364098.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'24482:5', '3549:2145', '24482:3491', '3549:30840'}",24482 3491 3549 1299 7029
update,1410364098.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'24482:10', '2914:420', '2914:2000', '65504:1299', '24482:2914', '24482:120', '2914:1005', '24482:5', '24482:11', '2914:3000'}",24482 2914 1299 7029
update,1410364098.0,W,206.126.236.181,61.174.51.0/24,None,None,None
update,1410364104.0,A,206.126.236.26,61.174.51.0/24,206.126.236.26,"{'16559:500', '16559:65502'}",16559 3356 1299 7029
update,1410364109.0,A,206.126.236.10,61.174.51.0/24,206.126.236.10,"{'2914:1003', '2914:420', '4589:2', '2914:2000', '4589:546', '4589:10110', '4589:420', '2914:3000'}",4589 2914 1299 7029
update,1410364113.0,A,206.126.236.172,61.174.51.0/24,206.126.236.172,"{'174:22013', '174:21000'}",11039 174 1299 7029
update,1410364114.0,A,206.126.236.12,61.174.51.0/24,206.126.236.12,"{'2914:1003', '2914:420', '2914:3000', '2914:2000'}",2914 1299 7029
update,1410364115.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'2914:1003', '2914:420', '24482:10', '2914:2000', '65504:1299', '24482:2914', '24482:120', '24482:5', '24482:11', '2914:3000'}",24482 2914 1299 7029
update,1410364117.0,A,206.126.236.120,61.174.51.0/24,206.126.236.120,set(),41095 3356 1299 7029
update,1410364122.0,W,206.126.236.12,61.174.51.0/24,None,None,None
update,1410364123.0,W,206.126.236.19,61.174.51.0/24,None,None,None
update,1410364123.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'24482:13', '24482:10', '6453:1000', '6453:1202', '6453:1200', '24482:120', '24482:6453', '6453:86', '24482:5'}",24482 6453 1299 7029
update,1410364124.0,W,206.126.236.24,61.174.51.0/24,None,None,None
update,1410364125.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3549:2145', '3549:30840'}",133165 3491 3549 1299 7029
update,1410364126.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'24482:5', '3549:2145', '24482:3491', '3549:30840'}",24482 3491 3549 1299 7029
update,1410364126.0,A,206.126.236.25,61.174.51.0/24,206.126.236.25,set(),6079 3356 1299 7029
update,1410364128.0,W,206.126.236.181,61.174.51.0/24,None,None,None
update,1410364135.0,W,206.126.236.61,61.174.51.0/24,None,None,None
update,1410364139.0,W,206.126.236.10,61.174.51.0/24,None,None,None
update,1410364140.0,W,206.126.236.47,61.174.51.0/24,None,None,None
update,1410364142.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3549:2407', '3549:30840'}",133165 3491 3549 1299 7029
update,1410364143.0,A,206.126.236.154,61.174.51.0/24,206.126.236.154,set(),13618 3356 1299 7029
update,1410364144.0,A,206.126.236.60,61.174.51.0/24,206.126.236.60,"{'4436:31611', '4436:999'}",4436 701 1299 7029
update,1410364145.0,W,206.126.236.76,61.174.51.0/24,None,None,None
update,1410364150.0,A,206.126.236.61,61.174.51.0/24,206.126.236.61,"{'4436:31611', '4436:999'}",4436 701 1299 7029
update,1410364150.0,A,206.126.236.120,61.174.51.0/24,206.126.236.120,set(),41095 3356 1299 7029
update,1410364153.0,W,206.126.236.60,61.174.51.0/24,None,None,None
update,1410364153.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'24482:3491', '24482:5', '3549:2407', '3549:30840'}",24482 3491 3549 1299 7029
update,1410364156.0,W,206.126.236.25,61.174.51.0/24,None,None,None
update,1410364158.0,W,206.126.236.181,61.174.51.0/24,None,None,None
update,1410364160.0,W,206.126.236.61,61.174.51.0/24,None,None,None
update,1410364166.0,W,206.126.236.26,61.174.51.0/24,None,None,None
update,1410364172.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,"{'3549:31826', '3549:2526'}",133165 3491 3549 1299 7029
update,1410364175.0,A,206.126.236.154,61.174.51.0/24,206.126.236.154,set(),13618 174 1299 7029
update,1410364183.0,A,202.79.197.159,61.174.51.0/24,202.79.197.159,"{'3491:3356', '24482:3491', '24482:5'}",24482 3491 3356 1299 7029
update,1410364193.0,A,206.126.236.172,61.174.51.0/24,206.126.236.172,"{'174:22012', '174:21100'}",11039 174 1299 7029
update,1410364202.0,A,202.79.197.201,61.174.51.0/24,202.79.197.201,{'3491:3356'},133165 3491 3356 1299 7029
update,1410364214.0,W,202.79.197.159,61.174.51.0/24,None,None,None
update,1410364232.0,W,202.79.197.201,61.174.51.0/24,None,None,None
update,1410364236.0,A,206.126.236.154,61.174.51.0/24,206.126.236.154,set(),13618 174 1299 7029
update,1410364239.0,W,206.126.236.120,61.174.51.0/24,None,None,None
update,1410364347.0,W,206.126.236.172,61.174.51.0/24,None,None,None
update,1410364390.0,W,206.126.236.154,61.174.51.0/24,None,None,None
