category_x,title_x,hj_as,hj_pfx,vt_as,vt_pfx,propagation,is_moas,moas_duration,is_submoas,submoas_duration,diff_cider,global_hege_freq_hijacked,global_hege_freq_normal,local_hege_hijacker,local_hege_freq_hijacked,local_hege_freq_normal,edit_distance,prepending,local_similarity,local_hege_freq,global_hege_freq,local_union,hege_score,new_title,no,title_y,category_y,detail,start_time,end_time,victim_as,hijack_as,innocent_as,prefix,hijack_prefix,link,comments,converted_start_time,converted_end_time,formatted_start_time,formatted_end_time
origin_change,backconnect_2.pickle,['203959'],82.118.233.0/24,201133.0,82.118.233.0/24,0.634375,1,544.6305418719212,0,,,0.0,0.0,0.0,0.0,0.0,4,0.0,0.9276807209881128,0.0,0.0,0.1666666666666666,"{'203959': {'web': {'200039': 0.125, '6762': 0.113575268817204, '3223': 1.0, '1299': 0.372311827956989, '25369': 0.125, '3356': 0.00201612903225806}, 'loc': {'48452': 0.4414743022256765, '1299': 0.15539180445722503, '8262': 0.22073715111283826, '6762': 0.21672226678296408, '3223': 1.0}}}",backconnect_2,9,backconnect_2,origin_change,moas,2016-09-07T07:00:00,,201133.0,203959,,82.118.233.0/24,82.118.233.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/,,2016-09-07 07:00:00,2016-09-08 07:00:00,2016-09-07 07:00:00 UTC,2016-09-08 07:00:00 UTC
forged_as_path,torg_2.pickle,['60937'],154.70.0.0/18,15399.0,154.70.0.0/18,0.0763358778625954,0,,0,,,0.0625,0.0,0.0,3.401325836809999e-06,0.0,4,0.0,2.8122103544636623e-05,1.7006629184049995e-06,0.03125,0.0,"{'1273': {'web': {'5089': 8.67938705735657e-06, '2914': 0.00971192315140532, '6461': 3.40132583681119e-06, '3257': 8.95469262648526e-05, '3356': 0.0335585253419756, '174': 0.00170884577335117, '1299': 0.0493623131428749}, 'loc': {'60937': 1.0, '6461': 1.0, '12389': 1.0, '16509': 1.0, '3267': 0.07142857142857142}}}",torg_2,6,torg_2,forged_as_path,moas,2014-09-26T20:30:00,,15399.0,60937,1273,154.70.0.0/18,154.70.0.0/18,https://dyn.com/blog/vast-world-of-fraudulent-routing/,,2014-09-26 20:30:00,2014-09-27 20:30:00,2014-09-26 20:30:00 UTC,2014-09-27 20:30:00 UTC
origin_change,bitcanal_5.pickle,['24196'],61.80.160.0/20,4766.0,61.80.0.0/14,0.4072727272727273,0,,0,,,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"{'24196': {'web': {}, 'loc': {'6939': 0.14106280193236717, '197426': 1.0}}}",bitcanal_5,6,bitcanal_5,origin_change,subprefix,2015-01-23T12:00:00,,4766.0,24196,,61.80.0.0/14,61.80.160.0/20,https://dyn.com/blog/vast-world-of-fraudulent-routing/,,2015-01-23 12:00:00,2015-01-24 12:00:00,2015-01-23 12:00:00 UTC,2015-01-24 12:00:00 UTC
forged_as_path,enzu_1.pickle,['18978'],23.21.112.0/20,14618.0,23.20.0.0/15,0.1450381679389313,0,,0,,,0.7241379310344828,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.3620689655172414,0.0,"{'14618': {'web': {'209': 0.000628231650605041, '3356': 0.1209959434886, '2914': 0.227975695288017, '1299': 0.0364828352879681, '16509': 1.0}, 'loc': {'18978': 1.0, '4826': 0.008616975441619991, '3257': 1.0, '40633': 1.0, '6939': 0.5522763176791613, '7545': 0.013356311934510985, '12989': 0.09090909090909091}}}",enzu_1,14,enzu_1,forged_as_path,subprefix,2015-03-26T10:30:00,,14618.0,18978,,23.20.0.0/15,23.21.112.0/20,https://bgpmon.net/bgp-optimizer-causes-thousands-of-fake-routes/,,2015-03-26 10:30:00,2015-03-27 10:30:00,2015-03-26 10:30:00 UTC,2015-03-27 10:30:00 UTC
origin_change,bitcanal_hijack_1.pickle,['197426'],101.124.128.0/18,131486.0,101.124.0.0/16,0.9973544973544972,0,,0,,,0.0,0.0,0.0,0.8780815884831888,0.0,3,0.0,0.989530276476478,0.4390407942415944,0.0,0.5,"{'197426': {'web': {'174': 0.877750570704948, '1299': 0.000443786982248521, '3356': 0.00384615384615385, '3257': 8.87573964497042e-05}, 'loc': {'174': 1.0, '2914': 0.03717530414548397, '1299': 0.14394628998905856, '3257': 0.031929986654347604}}}",bitcanal_hijack_1,1,bitcanal_hijack_1,origin_change,subprefix,2018-06-29T13:00:00,,131486.0,197426,,101.124.0.0/16,101.124.128.0/18,https://dyn.com/blog/shutting-down-the-bgp-hijack-factory/,,2018-06-29 13:00:00,2018-06-30 13:00:00,2018-06-29 13:00:00 UTC,2018-06-30 13:00:00 UTC
forged_as_path,defcon_1.pickle,['26627'],24.120.56.0/24,20195.0,24.120.56.0/22,0.9116279069767442,1,-21533.8,0,,,0.9101796407185628,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.4550898203592814,0.0,"{'20195': {'web': {'26627': 0.0178501087935174, '3561': 0.0191521921268507, '4436': 0.0178501087935174, '23005': 1.0, '19151': 0.312012357026144, '22822': 0.306400633169935, '3356': 0.178385416666667}, 'loc': {'26627': 1.0, '3561': 1.0, '2914': 0.002061855670103093, '3549': 0.13957096740601896, '3257': 0.021477663230240546, '1299': 0.04810996563573883, '23005': 1.0, '4436': 1.0, '22822': 1.0, '3356': 0.061459960429032595}}, '26627': {'web': {'4436': 0.486346437526851, '1299': 0.29735809178744, '3561': 0.0484299516908213, '3549': 0.0630752606153064}, 'loc': {'22691': 1.0}}}",defcon_1,17,defcon_1,forged_as_path,subprefix,2008-08-10T19:30:00,,20195.0,26627,,24.120.56.0/22,24.120.56.0/24,https://dyn.com/blog/stealing-the-internet-back-1/,,2008-08-10 19:30:00,2008-08-11 19:30:00,2008-08-10 19:30:00 UTC,2008-08-11 19:30:00 UTC
forged_as_path,backconnect_5.pickle,['203959'],146.84.2.0/24,36351.0,146.84.0.0/18,1.0,0,,0,,,0.3739612188365651,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.1869806094182825,0.0,"{'6939': {'web': {'1299': 0.0432997161664352}, 'loc': {'42708': 1.0, '36236': 1.0, '4134': 1.0, '203959': 1.0, '3223': 1.0}}, '4134': {'web': {'2914': 0.00301938308223892, '701': 2.75516142377892e-06, '3257': 0.00135532339175106, '6453': 0.00288982985636138, '1299': 0.00363199909374627, '174': 0.105635762958791, '3356': 0.0350853372141174}, 'loc': {'6939': 0.053610011019494315, '203959': 1.0, '3223': 1.0}}}",backconnect_5,11,backconnect_5,forged_as_path,subprefix,2016-02-21T07:45:00,,36351.0,203959,"4134, 6939",146.84.0.0/18,146.84.2.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/,,2016-02-21 07:45:00,2016-02-22 07:45:00,2016-02-21 07:45:00 UTC,2016-02-22 07:45:00 UTC
origin_change,amazon_1.pickle,['10297'],205.251.192.0/24,16509.0,205.251.192.0/24,0.2105263157894736,0,,0,,,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,"{'10297': {'web': {'174': 0.307648601398601, '2914': 0.149519230769231, '1299': 0.00170454545454545, '3356': 0.447836538461538, '3257': 0.000262237762237762}, 'loc': {'6939': 0.853448275862069, '19151': 0.008620689655172414}}}",amazon_1,13,amazon_1,origin_change,moas,2018-04-24T11:00:00,,16509.0,10297,,205.251.192.0/24,205.251.192.0/24,https://doublepulsar.com/hijack-of-amazons-internet-domain-service-used-to-reroute-web-traffic-for-two-hours-unnoticed-3a6f0dda6a6f,,2018-04-24 11:00:00,2018-04-25 11:00:00,2018-04-24 11:00:00 UTC,2018-04-25 11:00:00 UTC
origin_change,backconnect_1.pickle,['203959'],172.81.129.0/24,48884.0,172.81.128.0/21,0.7127272727272728,0,,0,,,0.0,0.0,0.0,1.0,0.0,4,0.0,0.97174055835135,0.5,0.0,0.25,"{'203959': {'web': {'1299': 0.324561403508772, '6762': 0.0687134502923977, '3223': 1.0}, 'loc': {'6939': 0.08683269188329247, '3223': 1.0}}}",backconnect_1,8,backconnect_1,origin_change,subprefix,2015-12-03T22:00:00,,48884.0,203959,,172.81.128.0/21,172.81.129.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/,,2015-12-03 22:00:00,2015-12-04 22:00:00,2015-12-03 22:00:00 UTC,2015-12-04 22:00:00 UTC
forged_as_path,backconnect_3.pickle,['203959'],72.20.0.0/24,25761.0,72.20.0.0/19,0.6707692307692308,1,645.110599078341,0,,,0.8313953488372093,0.0,0.0,1.920689655172,0.0,5,0.0,0.0,0.960344827586,0.4156976744186046,0.0,"{'25761': {'web': {'174': 0.00474137931034483, '1299': 0.487174746915533, '3356': 0.0316810344827586, '3257': 0.495368356532743}, 'loc': {'3257': 1.0, '1229': 1.0, '3223': 1.0, '203959': 1.0}}, '134830': {'web': {'43350': 0.741379310344828, '3257': 0.310344827586207}, 'loc': {'32768': 1.0, '6939': 0.06559400564434258, '203959': 1.0, '3223': 1.0, '53587': 4.0}}, '203959': {'web': {'1299': 0.197701149425287, '6762': 0.0574712643678161, '3223': 0.920689655172414}, 'loc': {'134830': 3.0, '6939': 0.05832405251257129, '3223': 1.0, '53587': 4.0}}}",backconnect_3,9,backconnect_3,forged_as_path,subprefix,2016-02-20T08:30:00,,25761.0,203959,"134830, 25761",72.20.0.0/19,72.20.0.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/,,2016-02-20 08:30:00,2016-02-21 08:30:00,2016-02-20 08:30:00 UTC,2016-02-21 08:30:00 UTC
forged_as_path,petersburg_1.pickle,['44050'],192.135.33.0/24,137.0,192.135.32.0/23,0.9701492537313432,0,,0,,,0.0,0.0,0.0,0.1096285346690631,0.0,5,0.0,0.0724441096427653,0.0548142673345315,0.0,0.0,"{'198596': {'web': {'131788': 0.0296296296296296, '39792': 0.0296296296296296, '2914': 0.147811447811448, '1273': 0.0115974560419005, '6762': 0.0333333333333333, '44050': 0.0296296296296296, '3356': 0.0611111111111111, '6910': 0.569341563786008, '34304': 0.338552188552189, '9050': 0.239711934156379, '1299': 0.0317994762439207}, 'loc': {'131788': 1.0, '39792': 0.8468475636361471, '2914': 0.017329629682372623, '174': 0.44106678342852956, '701': 0.006141540451885279, '20485': 0.0023212419764143902, '3257': 0.00024884464984002843, '31500': 0.00529034184206598, '44050': 1.005290341842066, '3356': 0.04015234479135996, '3549': 0.005523627075351214, '1299': 0.22880697551436535}}}",petersburg_1,3,petersburg_1,forged_as_path,subprefix,2015-01-07T09:00:00,,137.0,44050,198596,192.135.32.0/23,192.135.33.0/24,https://dyn.com/blog/vast-world-of-fraudulent-routing/,,2015-01-07 09:00:00,2015-01-08 09:00:00,2015-01-07 09:00:00 UTC,2015-01-08 09:00:00 UTC
